Information: Updating design information... (UID-85)
 
****************************************
Report : timing
        -path full
        -delay max
        -max_paths 1
Design : FPmul_1
Version: O-2018.06-SP4
Date   : Sun Dec 12 11:33:19 2021
****************************************

Operating Conditions: typical   Library: NangateOpenCellLibrary
Wire Load Model Mode: top

  Startpoint: I1/B_SIG_reg[3]
              (rising edge-triggered flip-flop clocked by MY_CLK)
  Endpoint: I2/SIG_in_reg_reg[27]
            (rising edge-triggered flip-flop clocked by MY_CLK)
  Path Group: MY_CLK
  Path Type: max

  Des/Clust/Port     Wire Load Model       Library
  I2/mul/MUL/add_431/U132/ZN (INV_X1)                     0.02       2.29 f
  I2/mul/MUL/add_431/U151/ZN (OAI21_X1)                   0.04       2.33 r
  I2/mul/MUL/add_431/U134/ZN (INV_X1)                     0.02       2.35 f
  I2/mul/MUL/add_431/U105/ZN (OR2_X1)                     0.05       2.41 f
  I2/mul/MUL/add_431/U150/ZN (OAI21_X1)                   0.04       2.45 r
  I2/mul/MUL/add_431/U113/ZN (NAND2_X1)                   0.03       2.48 f
  I2/mul/MUL/add_431/U149/ZN (OAI21_X1)                   0.05       2.52 r
  I2/mul/MUL/add_431/U140/ZN (INV_X1)                     0.02       2.55 f
  I2/mul/MUL/add_431/U107/ZN (OR2_X1)                     0.05       2.60 f
  I2/mul/MUL/add_431/U148/ZN (OAI21_X1)                   0.04       2.64 r
  I2/mul/MUL/add_431/U147/ZN (OAI21_X1)                   0.04       2.68 f
  I2/mul/MUL/add_431/U93/ZN (NAND2_X1)                    0.03       2.72 r
  I2/mul/MUL/add_431/U95/ZN (NAND3_X1)                    0.05       2.76 f
  I2/mul/MUL/add_431/U99/ZN (NAND2_X1)                    0.04       2.80 r
  I2/mul/MUL/add_431/U101/ZN (NAND3_X1)                   0.04       2.84 f
  I2/mul/MUL/add_431/U1_24/CO (FA_X1)                     0.09       2.93 f
  I2/mul/MUL/add_431/U1_25/CO (FA_X1)                     0.10       3.03 f
  I2/mul/MUL/add_431/U74/ZN (NAND2_X1)                    0.03       3.06 r
  I2/mul/MUL/add_431/U76/ZN (NAND3_X1)                    0.05       3.11 f
  I2/mul/MUL/add_431/U62/ZN (NAND2_X1)                    0.04       3.14 r
  I2/mul/MUL/add_431/U64/ZN (NAND3_X1)                    0.04       3.18 f
  I2/mul/MUL/add_431/U1_28/CO (FA_X1)                     0.09       3.27 f
  I2/mul/MUL/add_431/U1_29/CO (FA_X1)                     0.09       3.36 f
  I2/mul/MUL/add_431/U1_30/CO (FA_X1)                     0.10       3.46 f
  I2/mul/MUL/add_431/U67/ZN (NAND2_X1)                    0.03       3.49 r
  I2/mul/MUL/add_431/U70/ZN (NAND3_X1)                    0.04       3.53 f
  I2/mul/MUL/add_431/U1_32/CO (FA_X1)                     0.09       3.62 f
  I2/mul/MUL/add_431/U1_33/CO (FA_X1)                     0.10       3.72 f
  I2/mul/MUL/add_431/U80/ZN (NAND2_X1)                    0.03       3.75 r
  I2/mul/MUL/add_431/U83/ZN (NAND3_X1)                    0.05       3.80 f
  I2/mul/MUL/add_431/U87/ZN (NAND2_X1)                    0.04       3.84 r
  I2/mul/MUL/add_431/U89/ZN (NAND3_X1)                    0.05       3.88 f
  I2/mul/MUL/add_431/U36/ZN (NAND2_X1)                    0.04       3.92 r
  I2/mul/MUL/add_431/U38/ZN (NAND3_X1)                    0.04       3.95 f
  I2/mul/MUL/add_431/U1_37/CO (FA_X1)                     0.10       4.05 f
  I2/mul/MUL/add_431/U44/ZN (NAND2_X1)                    0.03       4.09 r
  I2/mul/MUL/add_431/U46/ZN (NAND3_X1)                    0.04       4.12 f
  I2/mul/MUL/add_431/U1_39/CO (FA_X1)                     0.09       4.21 f
  I2/mul/MUL/add_431/U1_40/CO (FA_X1)                     0.10       4.31 f
  I2/mul/MUL/add_431/U19/ZN (NAND2_X1)                    0.03       4.35 r
  I2/mul/MUL/add_431/U21/ZN (NAND3_X1)                    0.04       4.38 f
  I2/mul/MUL/add_431/U1_42/CO (FA_X1)                     0.10       4.48 f
  I2/mul/MUL/add_431/U50/ZN (NAND2_X1)                    0.04       4.52 r
  I2/mul/MUL/add_431/U52/ZN (NAND3_X1)                    0.05       4.57 f
  I2/mul/MUL/add_431/U57/ZN (NAND2_X1)                    0.04       4.61 r
  I2/mul/MUL/add_431/U58/ZN (NAND3_X1)                    0.05       4.65 f
  I2/mul/MUL/add_431/U24/ZN (NAND2_X1)                    0.04       4.69 r
  I2/mul/MUL/add_431/U26/ZN (NAND3_X1)                    0.05       4.74 f
  I2/mul/MUL/add_431/U31/ZN (NAND2_X1)                    0.04       4.78 r
  I2/mul/MUL/add_431/U32/ZN (NAND3_X1)                    0.04       4.81 f
  I2/mul/MUL/add_431/U11/Z (XOR2_X1)                      0.07       4.88 f
  I2/mul/MUL/add_431/SUM[47] (FPmul_1_DW01_add_2)         0.00       4.88 f
  I2/SIG_in_reg_reg[27]/D (DFF_X1)                        0.01       4.89 f
  data arrival time                                                  4.89

  clock MY_CLK (rise edge)                                5.00       5.00
  clock network delay (ideal)                             0.00       5.00
  clock uncertainty                                      -0.07       4.93
  I2/SIG_in_reg_reg[27]/CK (DFF_X1)                       0.00       4.93 r
  library setup time                                     -0.04       4.89
  data required time                                                 4.89
  --------------------------------------------------------------------------
  data required time                                                 4.89
  data arrival time                                                 -4.89
  --------------------------------------------------------------------------
  slack (MET)                                                        0.00


1
